Shop,City,Distance,Reviewer,Price,Drink Name,Boba,Rating,Rank,Comments
85 Degrees,Alhambra,7.1,Reviewer C,3,Sea Salt Mountain Tea,No,9,A,yummmmmmmmmmmmmyyyy They have BOGO sometimes. 
Wushiland,San Gabriel,3.8,Reviewer E,4.74,Red Bean Milk Tea,No,10,A,only because I never had red bean anywhere else xD and its good
Wushiland,San Gabriel,3.8,Reviewer E,3.99,Assam Black Tea,Yes,10,A, their black tea is yummers
Wushiland,San Gabriel,3.8,Reviewer E,3.99,Jasmine Green Milk Tea,Yes,8.5,A,pretty solid imo c: it's just that their boba can be hard sometimes
Wushiland,San Gabriel,5.7,Reviewer A,5.74,Ice Cream Green Milk Tea,Yes,8.5,A,i really like it the ice cream makes the drink creamy; only downside is their boba aint that gud
Wushiland,San Gabriel,3.3,Reviewer B,3.99,Jasmine Green Milk Tea,Yes,9,A,solid drink with lots of boba
OinkMoo,Pasadena,7.1,Reviewer B,4.75,Jasmine Milk Tea,Yes,8,A,v niceee; top list of things I'd get from there
Nobibi Ice cream & Tea,Chino Hills,18,Reviewer B,5.1,Ube Cloud,Yes,8,A,freakin gooood; boba is alright tho
Vita Cane,Rosemead,2.9,Reviewer C,7.5,Sugar Cane Juice,No,10,A,yummmerssss no boba lol
Chakaa,Arcadia,5.2,Reviewer D,4.25,Jasmine Milk Tea,No,9,A,"it was yum c: ; i agree, it really is yumm - nm"
Chakaa,Arcadia,4.2,Reviewer B,4.75,Jasmine Milk Tea,Yes,8,A,yummies; the boba is nice and chewy 
Chakaa,Arcadia,6.1,Reviewer C,4.75,White Peach Oolong w/o cheese foam,No,9,A,"yummy!!! light, fresh peachy taste with strong oolong kick at the end"
Gotcha,Rosemead,1.5,Reviewer B,5.25,Brown Sugar Fresh Milk,Yes,8.5,A,Always consistent with this drink! My go to
Tenju,Rowland Heights,13,Reviewer A,5,Honey Green Tea,Yes,10,A,it slaps
A+ tea house,San Gabriel,4.5,Reviewer C,5,Honey green tea,No,10,A,yummmmmm
Hello Boba,El Monte,1.3,Reviewer E,4.75,Jasmine Milk Tea,Yes,9,A,Very good! Just that the cup is very small :c not that we're trying to drink a lot >.<
4 Season Tea House,Rosemead,3.2,Reviewer C,5,Jasmine Green Milk Tea,No,10,A,"the drinks are yummerz, i didnt try their boba but their snacks are good they give a lot."
Unique Tea Bar,Hacienda Heights,8.5,Reviewer D,4.45,Jasmine Green Milk Tea,No,10,A," SO GOOD; PERFECT, MILKY"
Sunright Tea Studio,Diamond Bar,13,Reviewer D,4.75,Jasmine Green Milk Tea,No,9,A, Yummy!
Sunright Tea Studio,Diamond Bar,14,Reviewer C,4.75,Ceylon Milk Tea,No,9,A,"Very good~ I've never had Ceylon tea before, but it's very yummy! Would recommend getting it a little less sweet though~"
Ding Tea,El Monte,0.9,Reviewer E,4,Wintermelon MT,Yes,10,A,i live by this i swear by this my newest obsession no one has better wintermelon than ding tea
Tea Brick,Monterey Park,5.2,Reviewer D,5.95,Mango Snow Milk,No,10,A,IT SLAPSSSS -priscilla and Reviewer D
Chun Feng Sugar,Koreatown,13,Reviewer B,4.95,Brown Sugar Fresh Milk,Yes,8,A,Really good but you can tell a change in consistency
Dragonfly tea bar,Rowland Heights,12,Reviewer D,6.5,Rainbow tea,Yes,9,A,pretty good tea and it has BOGO happy hour 1.50 1-5 pm but its in rowland
FTB,San Gabriel,5.2,Reviewer C,4.25,Rose Green Tea,No,7,B,"their tea is good, they had some moments where they didn't treat me right and I don't ususally get their boba so idk. But the last time I tried their boba it was hard as a rock."
FTB,San Gabriel,5.5,Reviewer D,4.25,Almond Milk Tea,Yes,10,B,Reviewer D freaking loved it with boba yummy
FTB,San Gabriel,5.5,Reviewer D,4.25,Nom Nom Green Tea,Yes,10,B,"for those days when you want something milky, it's yummy"
FTB,San Gabriel,5.5,Reviewer D,4.25,Jasmine Milk Tea,No,9,B,yummyskis jasmine milk tea
FTB,San Gabriel,5.8,Reviewer E,4.25,Brown Sugar Milk,Yes,8,B, drink was good 2x amazing it gets an extra 0.5 points
FTB,San Gabriel,4.2,Reviewer B,5.25,Dirty Nom Nom,Yes,8,B,can get a bit too much sometimes but still a good noms
Wushiland,San Gabriel,3.3,Reviewer B,5.49,Yogurt Green Tea,Yes,7.8,B,Lotssss of boba; the drink is a bit too sweet tho
Omomo,Chino Hills,18,Reviewer B,5,Omomo Matcha,Yes,8,B,Drink was good in the end; was a tad annoying to mix it
Onezo,Pasadena,12,Reviewer A,4.31,Honey Green Tea,Yes,7,B, I usually just get their tea and its not bad. A little sweet or not too sweet. Kinda inconsistent but its okay. Their boba is kinda tasteless.
Onezo,Pasadena,5.7,Reviewer E,5.75,Brown Sugar Milk @ Pasadena,Yes,3,B,The Pasadena one tasted like a coffee drink :///// and their cup is narrower than usual... 
